model,epsilon,accuracy,macro_f1,macro_recall,attack_success_rate,avg_confidence,orig_avg_confidence,confidence_drop,recall_clean_S,recall_adv_S,recall_clean_V,recall_adv_V,recall_clean_F,recall_adv_F
LSTM,0.0,0.9638680796638042,0.8582833681083997,0.9026788867703178,0.0,0.9480491280555725,0.9480491280555725,0.0,0.8129496402877698,0.8129496402877698,0.9371546961325967,0.9371546961325967,0.808641975308642,0.808641975308642
LSTM,0.02,0.9165448565686095,0.7627656469053359,0.8337514763862103,0.04919198142268139,0.9180740118026733,0.9480491280555725,0.029975181445479393,0.8129496402877698,0.7248201438848921,0.9371546961325967,0.8846685082872928,0.808641975308642,0.6666666666666666
LSTM,0.05,0.8440983007491321,0.6394044613178436,0.6974760783902214,0.12487559831287617,0.8875210881233215,0.9480491280555725,0.060528162866830826,0.8129496402877698,0.6348920863309353,0.9371546961325967,0.7879834254143646,0.808641975308642,0.2777777777777778
BiLSTM,0.0,0.9654211584140325,0.8505340959350874,0.873252202146725,0.0,0.9520724415779114,0.9520724415779114,0.0,0.6780575539568345,0.6780575539568345,0.9585635359116023,0.9585635359116023,0.7777777777777778,0.7777777777777778
BiLSTM,0.02,0.9489767951763202,0.788558620576268,0.8366633297539338,0.017033356990773598,0.9335759282112122,0.9520724415779114,0.01849648728966713,0.6780575539568345,0.6348920863309353,0.9585635359116023,0.9357734806629834,0.7777777777777778,0.6851851851851852
BiLSTM,0.05,0.9236707473049516,0.7044451889942701,0.768209261774163,0.04343506032647267,0.9076752066612244,0.9520724415779114,0.044397223740816116,0.6780575539568345,0.5143884892086331,0.9585635359116023,0.8867403314917127,0.7777777777777778,0.5432098765432098
HMR-BiLSTM (no Adv),0.0,0.979398867166088,0.9023946609697482,0.9188211853273758,0.0,0.9475746750831604,0.9475746750831604,0.0,0.8489208633093526,0.8489208633093526,0.9689226519337016,0.9689226519337016,0.8024691358024691,0.8024691358024691
HMR-BiLSTM (no Adv),0.02,0.9455508861684634,0.8045744275630998,0.863017145976962,0.034606594841658504,0.9079969525337219,0.9475746750831604,0.03957771509885788,0.8489208633093526,0.7679856115107914,0.9689226519337016,0.9412983425414365,0.8024691358024691,0.6790123456790124
HMR-BiLSTM (no Adv),0.05,0.7942627443815092,0.5590291694683291,0.6165060571616646,0.19276153164497925,0.850695788860321,0.9475746750831604,0.09687881916761398,0.8489208633093526,0.6744604316546763,0.9689226519337016,0.6899171270718232,0.8024691358024691,0.024691358024691357
HMR-BiLSTM,0.0,0.9748766672757172,0.8824864632167984,0.9146363517213706,0.0,0.935391902923584,0.935391902923584,0.0,0.8111510791366906,0.8111510791366906,0.9447513812154696,0.9447513812154696,0.845679012345679,0.845679012345679
HMR-BiLSTM,0.02,0.9637310433034899,0.8424519246365308,0.8930537125502921,0.011432855402492738,0.9179899096488953,0.935391902923584,0.017402008175849915,0.8111510791366906,0.7841726618705036,0.9447513812154696,0.9267955801104972,0.845679012345679,0.7962962962962963
HMR-BiLSTM,0.05,0.9417138680796638,0.7825219190761089,0.8662390175343336,0.034017430418892325,0.8904449343681335,0.935391902923584,0.044946882873773575,0.8111510791366906,0.7464028776978417,0.9447513812154696,0.8922651933701657,0.845679012345679,0.7654320987654321
